id,sky_centroid,r_petrosian,r_half_light,r_total_flux,r_half_light_arcsec,r_total_flux_arcsec,r20,r80,c2080,n_estimate,f_half_light,mag_half_light,mag_half_light_err,f_total,mag_total,mag_total_err,surface_brightnesses,m_u,m_b,m_v,m_f105w,m_f125w,m_f140w,m_f160w,M_u,M_b,M_v,M_f105w,M_f125w,M_f140w,M_f160w,kcorrect_constant_0,kcorrect_constant_1,kcorrect_constant_2,kcorrect_constant_3,kcorrect_constant_4,kcorrect_constant_5
102,"3.5960285330822397,-30.398991076644833",11.53490698139628,4.527105421084217,23.06981396279256,0.27162627490719443,1.3841885811474128,2.2994598919783957,9.260852170434088,3.025125564140157,1.2396056887966327,5.623394917783557,24.393821408325373,25.33131963839941,11.366658198239648,23.629735866689998,24.949276867581723,28.196840825188485,24.27524757385254,24.08836555480957,24.10162925720215,23.862979888916016,23.793598175048828,23.745281219482422,23.688711166381836,-16.77391242980957,-16.96079444885254,-16.94753074645996,-17.186180114746094,-17.25556182861328,-17.303878784179688,-17.360448837280273,0.30799999833106995,7.373336163851718e-09,6.967563331850002e-11,5.125244117998307e-10,1.080724842950076e-09,2.857462488847773e-09
307,"3.5843396141635933,-30.403761572440565",,,nan,,nan,,,,,,,,,,,-inf,0.7978614568710327,0.5056346654891968,0.46687614917755127,0.3766668736934662,0.3854992985725403,0.386736124753952,0.3833297789096832,-40.25129699707031,-40.54352569580078,-40.58228302001953,-40.67249298095703,-40.66366195678711,-40.66242218017578,-40.665828704833984,0.30799999833106995,7.980319023132324,0.12656298279762268,0.6115865707397461,0.5618404746055603,12.55060863494873
491,"3.570295873947379,-30.387410789993158",12.509501900380076,5.872974594918984,25.019003800760153,0.3523784103663259,1.5011399497433964,2.021004200840168,14.505101020204041,4.27976770769687,3.3510307904479704,5.589228801760353,24.400438147614892,25.33462800804417,11.192168689937986,23.646532250272166,24.957675059372804,28.56952542132422,23.936065673828125,23.895862579345703,24.01655387878418,23.741315841674805,23.62807273864746,23.54788589477539,23.458614349365234,-17.113094329833984,-17.153297424316406,-17.03260612487793,-17.307844161987305,-17.42108726501465,-17.50127410888672,-17.590545654296875,0.30799999833106995,1.1614001316218037e-08,1.2519175973668695e-10,1.2933610848975263e-09,3.6368283939935964e-09,1.812330840955667e-10
353,"3.583215024000635,-30.398783546605888",19.285257051410284,9.771354270854172,38.57051410282057,0.5862811475582929,2.314230417124996,4.759151830366074,14.041008201640329,2.349343663946997,0.6422923191097172,3.7025894516903386,24.847553969628592,25.558185919051017,7.386689,24.097693332450405,25.183255600461923,30.490888429030274,24.91752815246582,24.711742401123047,24.687389373779297,24.216259002685547,24.08244514465332,24.003684997558594,23.91766357421875,-16.13163185119629,-16.337417602539062,-16.361770629882812,-16.832901000976562,-16.96671485900879,-17.045475006103516,-17.13149642944336,0.30799999833106995,7.432712223476301e-09,3.8334724283828336e-11,3.832311967766344e-10,3.1703220604306637e-10,1.5527270580406594e-09
127,"3.6016165936640343,-30.39579065324922",9.121624324864973,4.2022404480896185,18.243248649729946,0.2521343801411972,1.0945947160525966,2.206641328265653,7.404480896179236,2.628814345648479,0.8651770656062105,5.669412554910983,24.384972715675776,25.32689529207461,11.398237955391078,23.62672357026316,24.9477707193683,27.874694204914146,24.021997451782227,23.92791748046875,23.99144172668457,23.80707550048828,23.77552032470703,23.735822677612305,23.681732177734375,-17.027162551879883,-17.12124252319336,-17.05771827697754,-17.242084503173828,-17.273639678955078,-17.313337326049805,-17.367427825927734,0.30799999833106995,3.912155044361043e-09,1.125603221741045e-10,2.0331414329888275e-09,1.5432307876039886e-08,1.382519099202284e-11
400,"3.6062112508444675,-30.40535588882927",222.14022804560912,,444.28045609121824,,26.656822423460415,,,,,,,,,,,-inf,0.7978614568710327,0.5056346654891968,0.46687614917755127,0.3766668736934662,0.3854992985725403,0.386736124753952,0.3833297789096832,-40.25129699707031,-40.54352569580078,-40.58228302001953,-40.67249298095703,-40.66366195678711,-40.66242218017578,-40.665828704833984,0.30799999833106995,7.980319023132324,0.12656298279762268,0.6115865707397461,0.5618404746055603,12.55060863494873
528,"3.5986628835155683,-30.383102982130573",10.606721344268854,5.269653930786157,21.213442688537707,0.3161791772294738,1.2728063253417143,2.717143428685737,9.400080016003201,2.69509493253456,0.9231200453631784,5.600385295259052,24.398273101918328,25.333545485195888,11.203865195039008,23.64539818159937,24.95710802503641,28.806366660472857,24.690753936767578,24.368083953857422,24.274377822875977,23.82929801940918,23.721284866333008,23.659320831298828,23.5898494720459,-16.35840606689453,-16.681076049804688,-16.774782180786133,-17.21986198425293,-17.3278751373291,-17.38983917236328,-17.45931053161621,0.30799999833106995,8.578045829210623e-09,3.476321314144215e-11,4.049361956859343e-10,6.206513636364264e-10,3.374106105624719e-09
84,"3.576955927603962,-30.400863575495595",13.576915383076615,5.919383876775355,27.15383076615323,0.3551629667614683,1.6292295439199498,2.7635527105421085,9.864172834566913,2.762964603107523,0.9843409760328687,6.099573381276255,24.305569217273103,25.287193542873275,12.218967968593718,23.551231552658088,24.910024710565768,29.062916622394106,24.946678161621094,24.372161865234375,24.185022354125977,23.973251342773438,23.979143142700195,23.989957809448242,23.99834632873535,-16.102481842041016,-16.676998138427734,-16.864137649536133,-17.075908660888672,-17.070016860961914,-17.059202194213867,-17.050813674926758,0.30799999833106995,1.648856051694736e-09,1.4485340823957443e-14,5.095360982101949e-13,6.097571991596495e-14,5.991350082723557e-09
72,"3.5803406252761913,-30.402203488026938",24.111822364472896,12.23104620924185,48.22364472894579,0.7338626365008435,2.8934181473146285,5.4552910582116425,32.1870374074815,3.854315390617891,2.3849279098870553,8.105358924184838,23.996887240517815,25.132852554495628,16.238372294258852,23.242461633034715,24.755639750754078,5.322406065103833,-0.9925585985183716,-0.944284200668335,-0.6673518419265747,0.13654136657714844,0.4916706085205078,0.6528850793838501,0.8489739894866943,-42.041717529296875,-41.99344253540039,-41.71651077270508,-40.912620544433594,-40.55748748779297,-40.39627456665039,-40.20018768310547,0.30799999833106995,1.2237244844436646,1.223724603652954,1.2237247228622437,1.2237235307693481,1.2237248420715332
78,"3.5773268945064203,-30.401610872375556",,,nan,,nan,,,,,,,,,,,-inf,0.7978614568710327,0.5056346654891968,0.46687614917755127,0.3766668736934662,0.3854992985725403,0.386736124753952,0.3833297789096832,-40.25129699707031,-40.54352569580078,-40.58228302001953,-40.67249298095703,-40.66366195678711,-40.66242218017578,-40.665828704833984,0.30799999833106995,7.980319023132324,0.12656298279762268,0.6115865707397461,0.5618404746055603,12.55060863494873
