id,ra,dec,r_petrosian,r_half_light,r_total_flux,r_half_light_arcsec,r_total_flux_arcsec,r20,r80,c2080,n_estimate,f_half_light,mag_half_light,mag_half_light_err,f_total,mag_total,mag_total_err,surface_brightness,m_u,m_b,m_v,m_f105w,m_f125w,m_f140w,m_f160w,M_u,M_b,M_v,M_f105w,M_f125w,M_f140w,M_f160w,kcorrect_constant_0,kcorrect_constant_1,kcorrect_constant_2,kcorrect_constant_3,kcorrect_constant_4,kcorrect_constant_5
450,3.5813853349034015,-30.393930064468258,18.357071414282856,7.1260252050410084,36.71414282856571,0.4275614330351724,2.2028481613192974,3.042008401680336,16.871974394878976,3.720027492253379,2.145668833133505,163.89449114282857,20.73240697793461,23.500612423204025,328.60623706181235,19.9771283628757,23.122973115674572,19.53441367915309,20.67508316040039,20.550048828125,20.568666458129883,20.00421142578125,19.837947845458984,19.74082374572754,19.637014389038086,-20.351348876953125,-20.476383209228516,-20.457765579223633,-21.022220611572266,-21.18848419189453,-21.285608291625977,-21.38941764831543,0.30799999833106995,4.2534995259302377e-07,2.2758070983286416e-09,2.6907009953447414e-08,5.171277450699563e-08,3.089346023443795e-08
516,3.5925474224511436,-30.38530893313196,11.024404880976196,4.527105421084217,22.04880976195239,0.27162627490719443,1.3229283404542787,2.160232046409282,9.492898579715943,3.2144921827991286,1.4468074088050789,149.4475683128626,20.832595736092358,23.550706802282903,301.32504497819565,20.071229793324285,23.170023830898863,18.680925150481116,20.806583404541016,20.68169403076172,20.691638946533203,20.07123565673828,19.89441680908203,19.792699813842773,19.684614181518555,-20.2198486328125,-20.344738006591797,-20.334793090820312,-20.955196380615234,-21.132015228271484,-21.233732223510742,-21.34181785583496,0.30799999833106995,4.139004374792421e-07,2.042680247171802e-09,2.6791754592636607e-08,5.691970272891922e-08,2.273587895729179e-08
460,3.5942798215294247,-30.390418124106326,15.850970194038808,6.151430286057211,31.701940388077617,0.36908574873718064,1.9021160706439113,2.670734146829366,14.876375275055011,3.7293323314582705,2.1613731270085212,145.3345182334467,20.86289593014902,23.565856899311232,290.9049864904981,20.109439954263095,23.18912891136827,19.305454322216736,20.754657745361328,20.640445709228516,20.67272186279297,20.14824867248535,19.98894500732422,19.894237518310547,19.79253387451172,-20.271774291992188,-20.385986328125,-20.353710174560547,-20.878183364868164,-21.037487030029297,-21.13219451904297,-21.233898162841797,0.30799999833106995,3.643275192644069e-07,2.1431645347291806e-09,2.504148532977979e-08,5.000349645456481e-08,2.5638875911226933e-08
240,3.5891337485381323,-30.4095750306577,16.407881576315262,7.1260252050410084,32.815763152630524,0.4275614330351724,1.96894542412733,3.366873374674935,15.201240248049611,3.273261198172019,1.5157687042546417,148.9907946635327,20.835919277146306,23.552368572809876,298.02884205901177,20.08317212991913,23.175994999196288,19.638013227492934,20.79237937927246,20.653648376464844,20.66650390625,20.13412094116211,19.97725486755371,19.884801864624023,19.78533172607422,-20.234052658081055,-20.372783660888672,-20.359928131103516,-20.892311096191406,-21.049177169799805,-21.141630172729492,-21.241100311279297,0.30799999833106995,3.6050789731234545e-07,1.9886672308899733e-09,2.372169127795587e-08,4.573428924459222e-08,3.4288216710365305e-08
281,3.5870343937591564,-30.404973383323625,10.049809961992398,4.2022404480896185,20.099619923984797,0.2521343801411972,1.205976971858295,2.0674134826965394,8.935987197439488,3.1785759684247745,1.4058021944188037,110.29732176055212,21.16240545089824,23.71561165968584,222.06931085377076,20.402596506408514,23.33570718744098,18.72548347100268,20.978496551513672,20.887950897216797,20.940052032470703,20.430212020874023,20.270694732666016,20.174535751342773,20.07124137878418,-20.047935485839844,-20.13848114013672,-20.086380004882812,-20.596220016479492,-20.7557373046875,-20.851896286010742,-20.955190658569336,0.30799999833106995,2.836709995790443e-07,1.8129132639543855e-09,2.1814679840304052e-08,4.9199616825035264e-08,1.2304507635008122e-08
385,3.584988164436669,-30.392849365485052,14.829965993198641,5.965793158631726,29.659931986397282,0.35794752315661077,1.779595589257643,2.485097019403881,15.015603120624125,3.905997162005569,2.484609051725759,131.02505627325465,20.975431981229697,23.622124924851573,261.5569762614523,20.224902098365344,23.246859983419395,19.403227111075417,20.961078643798828,20.804758071899414,20.808177947998047,20.297222137451172,20.147241592407227,20.058773040771484,19.963197708129883,-20.065353393554688,-20.2216739654541,-20.21825408935547,-20.729209899902344,-20.87919044494629,-20.96765899658203,-21.063234329223633,0.30799999833106995,3.0035388931537454e-07,1.6370415023558849e-09,1.7850311451184098e-08,3.01843172678673e-08,3.803576831273858e-08
238,3.5888203672123096,-30.410716973527474,18.125025005001,7.17243448689738,36.250050010002,0.4303459894303149,2.1750025973678726,2.995599119823965,15.990198039607922,3.6368507411762203,2.0106966526987624,139.07938844428887,20.910660937601538,23.58973940303749,278.3006770284057,20.15753221133989,23.213175039906666,19.79988314991964,20.941837310791016,20.801422119140625,20.79693603515625,20.158742904663086,19.981060028076172,19.879589080810547,19.77176856994629,-20.0845947265625,-20.22500991821289,-20.229496002197266,-20.86768913269043,-21.045372009277344,-21.14684295654297,-21.254663467407227,0.30799999833106995,3.794874032791995e-07,1.7664217866197873e-09,2.4453866487306186e-08,5.2941505401804534e-08,2.3882527955265687e-08
171,3.598765496939194,-30.388018542147574,14.829965993198641,6.10502100420084,29.659931986397282,0.3663011923420382,1.779595589257643,2.8099619923984798,14.319463892778556,3.5361315651569623,1.8594401504612077,139.0719221610322,20.910719225402023,23.589768546937734,278.78808808921787,20.15563233468291,23.212225101578177,19.33572438462075,20.801555633544922,20.68716049194336,20.719024658203125,20.19413185119629,20.03515625,19.940547943115234,19.838895797729492,-20.224876403808594,-20.339271545410156,-20.30740737915039,-20.832300186157227,-20.991275787353516,-21.08588409423828,-21.187536239624023,0.30799999833106995,3.4790835456988134e-07,2.0554555835161636e-09,2.470999049819511e-08,5.129782465473909e-08,2.389247200085265e-08
418,3.594456736373635,-30.400348911508946,9.910582116423285,4.063012602520504,19.82116423284657,0.24378071095576978,1.1892696334874404,1.9745949189837968,8.518303660732148,3.174375513001826,1.4010613300259562,121.69062476375275,21.05567506649332,23.66224646748338,242.70562037127425,20.306118284792678,23.28746807663306,18.597056305328056,20.936960220336914,20.832687377929688,20.870216369628906,20.33011245727539,20.16608238220215,20.06881332397461,19.964664459228516,-20.0894718170166,-20.193744659423828,-20.15621566772461,-20.696319580078125,-20.860349655151367,-20.957618713378906,-21.061767578125,0.30799999833106995,3.1481556561629986e-07,1.8477201990663161e-09,2.2191541049210173e-08,4.679796461459773e-08,1.7033082500006458e-08
463,3.5955068637077208,-30.388687469679873,17.150430086017202,7.265253050610122,34.300860172034405,0.43591510222059976,2.058051228771889,3.2276455291058213,16.361472294458892,3.5246827414555018,1.8430242876703407,130.28919716683336,20.98154684848071,23.625182358477076,260.96866816483293,20.227346945529366,23.248082407001405,19.81021626517401,20.910137176513672,20.78383445739746,20.805355072021484,20.268352508544922,20.108192443847656,20.013742446899414,19.912385940551758,-20.116294860839844,-20.242597579956055,-20.22107696533203,-20.758079528808594,-20.91823959350586,-21.0126895904541,-21.114046096801758,0.30799999833106995,3.254447733525012e-07,1.821844564098285e-09,2.1229688229595922e-08,4.07905744737036e-08,2.6445640344263666e-08
